realtime_start,realtime_end,date,value
2020-12-30,2020-12-30,1994-01-01,11.7
2020-12-30,2020-12-30,1994-02-01,11.4
2020-12-30,2020-12-30,1994-03-01,11.5
2020-12-30,2020-12-30,1994-04-01,11.3
2020-12-30,2020-12-30,1994-05-01,10.9
2020-12-30,2020-12-30,1994-06-01,11.0
2020-12-30,2020-12-30,1994-07-01,10.8
2020-12-30,2020-12-30,1994-08-01,10.6
2020-12-30,2020-12-30,1994-09-01,10.4
2020-12-30,2020-12-30,1994-10-01,10.4
2020-12-30,2020-12-30,1994-11-01,10.1
2020-12-30,2020-12-30,1994-12-01,10.1
2020-12-30,2020-12-30,1995-01-01,10.1
2020-12-30,2020-12-30,1995-02-01,9.9
2020-12-30,2020-12-30,1995-03-01,9.9
2020-12-30,2020-12-30,1995-04-01,10.1
2020-12-30,2020-12-30,1995-05-01,10.1
2020-12-30,2020-12-30,1995-06-01,10.1
2020-12-30,2020-12-30,1995-07-01,10.1
2020-12-30,2020-12-30,1995-08-01,10.1
2020-12-30,2020-12-30,1995-09-01,10.2
2020-12-30,2020-12-30,1995-10-01,10.0
2020-12-30,2020-12-30,1995-11-01,10.1
2020-12-30,2020-12-30,1995-12-01,10.0
2020-12-30,2020-12-30,1996-01-01,9.8
2020-12-30,2020-12-30,1996-02-01,10.0
2020-12-30,2020-12-30,1996-03-01,9.9
2020-12-30,2020-12-30,1996-04-01,10.0
2020-12-30,2020-12-30,1996-05-01,9.8
2020-12-30,2020-12-30,1996-06-01,9.7
2020-12-30,2020-12-30,1996-07-01,9.7
2020-12-30,2020-12-30,1996-08-01,9.4
2020-12-30,2020-12-30,1996-09-01,9.5
2020-12-30,2020-12-30,1996-10-01,9.5
2020-12-30,2020-12-30,1996-11-01,9.4
2020-12-30,2020-12-30,1996-12-01,9.6
2020-12-30,2020-12-30,1997-01-01,9.4
2020-12-30,2020-12-30,1997-02-01,9.3
2020-12-30,2020-12-30,1997-03-01,9.1
2020-12-30,2020-12-30,1997-04-01,9.3
2020-12-30,2020-12-30,1997-05-01,8.9
2020-12-30,2020-12-30,1997-06-01,8.9
2020-12-30,2020-12-30,1997-07-01,8.7
2020-12-30,2020-12-30,1997-08-01,8.7
2020-12-30,2020-12-30,1997-09-01,8.7
2020-12-30,2020-12-30,1997-10-01,8.5
2020-12-30,2020-12-30,1997-11-01,8.4
2020-12-30,2020-12-30,1997-12-01,8.5
2020-12-30,2020-12-30,1998-01-01,8.4
2020-12-30,2020-12-30,1998-02-01,8.3
2020-12-30,2020-12-30,1998-03-01,8.4
2020-12-30,2020-12-30,1998-04-01,8.0
2020-12-30,2020-12-30,1998-05-01,8.0
2020-12-30,2020-12-30,1998-06-01,8.1
2020-12-30,2020-12-30,1998-07-01,8.2
2020-12-30,2020-12-30,1998-08-01,7.9
2020-12-30,2020-12-30,1998-09-01,8.0
2020-12-30,2020-12-30,1998-10-01,7.9
2020-12-30,2020-12-30,1998-11-01,7.7
2020-12-30,2020-12-30,1998-12-01,7.6
2020-12-30,2020-12-30,1999-01-01,7.6
2020-12-30,2020-12-30,1999-02-01,7.7
2020-12-30,2020-12-30,1999-03-01,7.5
2020-12-30,2020-12-30,1999-04-01,7.7
2020-12-30,2020-12-30,1999-05-01,7.4
2020-12-30,2020-12-30,1999-06-01,7.5
2020-12-30,2020-12-30,1999-07-01,7.5
2020-12-30,2020-12-30,1999-08-01,7.3
2020-12-30,2020-12-30,1999-09-01,7.4
2020-12-30,2020-12-30,1999-10-01,7.2
2020-12-30,2020-12-30,1999-11-01,7.2
2020-12-30,2020-12-30,1999-12-01,7.1
2020-12-30,2020-12-30,2000-01-01,7.0
2020-12-30,2020-12-30,2000-02-01,7.1
2020-12-30,2020-12-30,2000-03-01,7.1
2020-12-30,2020-12-30,2000-04-01,6.9
2020-12-30,2020-12-30,2000-05-01,7.1
2020-12-30,2020-12-30,2000-06-01,7.0
2020-12-30,2020-12-30,2000-07-01,7.0
2020-12-30,2020-12-30,2000-08-01,7.1
2020-12-30,2020-12-30,2000-09-01,7.0
2020-12-30,2020-12-30,2000-10-01,6.8
2020-12-30,2020-12-30,2000-11-01,7.1
2020-12-30,2020-12-30,2000-12-01,6.9
2020-12-30,2020-12-30,2001-01-01,7.3
2020-12-30,2020-12-30,2001-02-01,7.3
2020-12-30,2020-12-30,2001-03-01,7.3
2020-12-30,2020-12-30,2001-04-01,7.4
2020-12-30,2020-12-30,2001-05-01,7.5
2020-12-30,2020-12-30,2001-06-01,7.9
2020-12-30,2020-12-30,2001-07-01,7.9
2020-12-30,2020-12-30,2001-08-01,8.2
2020-12-30,2020-12-30,2001-09-01,8.7
2020-12-30,2020-12-30,2001-10-01,9.3
2020-12-30,2020-12-30,2001-11-01,9.4
2020-12-30,2020-12-30,2001-12-01,9.6
2020-12-30,2020-12-30,2002-01-01,9.4
2020-12-30,2020-12-30,2002-02-01,9.5
2020-12-30,2020-12-30,2002-03-01,9.4
2020-12-30,2020-12-30,2002-04-01,9.7
2020-12-30,2020-12-30,2002-05-01,9.6
2020-12-30,2020-12-30,2002-06-01,9.5
2020-12-30,2020-12-30,2002-07-01,9.6
2020-12-30,2020-12-30,2002-08-01,9.6
2020-12-30,2020-12-30,2002-09-01,9.6
2020-12-30,2020-12-30,2002-10-01,9.6
2020-12-30,2020-12-30,2002-11-01,9.8
2020-12-30,2020-12-30,2002-12-01,9.8
2020-12-30,2020-12-30,2003-01-01,9.9
2020-12-30,2020-12-30,2003-02-01,10.1
2020-12-30,2020-12-30,2003-03-01,10.0
2020-12-30,2020-12-30,2003-04-01,10.2
2020-12-30,2020-12-30,2003-05-01,10.1
2020-12-30,2020-12-30,2003-06-01,10.3
2020-12-30,2020-12-30,2003-07-01,10.3
2020-12-30,2020-12-30,2003-08-01,10.1
2020-12-30,2020-12-30,2003-09-01,10.4
2020-12-30,2020-12-30,2003-10-01,10.2
2020-12-30,2020-12-30,2003-11-01,10.1
2020-12-30,2020-12-30,2003-12-01,9.8
2020-12-30,2020-12-30,2004-01-01,9.8
2020-12-30,2020-12-30,2004-02-01,9.7
2020-12-30,2020-12-30,2004-03-01,10.0
2020-12-30,2020-12-30,2004-04-01,9.6
2020-12-30,2020-12-30,2004-05-01,9.7
2020-12-30,2020-12-30,2004-06-01,9.6
2020-12-30,2020-12-30,2004-07-01,9.5
2020-12-30,2020-12-30,2004-08-01,9.4
2020-12-30,2020-12-30,2004-09-01,9.4
2020-12-30,2020-12-30,2004-10-01,9.7
2020-12-30,2020-12-30,2004-11-01,9.4
2020-12-30,2020-12-30,2004-12-01,9.3
2020-12-30,2020-12-30,2005-01-01,9.2
2020-12-30,2020-12-30,2005-02-01,9.2
2020-12-30,2020-12-30,2005-03-01,9.1
2020-12-30,2020-12-30,2005-04-01,9.0
2020-12-30,2020-12-30,2005-05-01,8.9
2020-12-30,2020-12-30,2005-06-01,9.0
2020-12-30,2020-12-30,2005-07-01,8.8
2020-12-30,2020-12-30,2005-08-01,8.9
2020-12-30,2020-12-30,2005-09-01,9.0
2020-12-30,2020-12-30,2005-10-01,8.7
2020-12-30,2020-12-30,2005-11-01,8.7
2020-12-30,2020-12-30,2005-12-01,8.6
2020-12-30,2020-12-30,2006-01-01,8.4
2020-12-30,2020-12-30,2006-02-01,8.4
2020-12-30,2020-12-30,2006-03-01,8.2
2020-12-30,2020-12-30,2006-04-01,8.1
2020-12-30,2020-12-30,2006-05-01,8.2
2020-12-30,2020-12-30,2006-06-01,8.4
2020-12-30,2020-12-30,2006-07-01,8.5
2020-12-30,2020-12-30,2006-08-01,8.4
2020-12-30,2020-12-30,2006-09-01,8.0
2020-12-30,2020-12-30,2006-10-01,8.2
2020-12-30,2020-12-30,2006-11-01,8.1
2020-12-30,2020-12-30,2006-12-01,7.9
2020-12-30,2020-12-30,2007-01-01,8.3
2020-12-30,2020-12-30,2007-02-01,8.1
2020-12-30,2020-12-30,2007-03-01,8.0
2020-12-30,2020-12-30,2007-04-01,8.2
2020-12-30,2020-12-30,2007-05-01,8.2
2020-12-30,2020-12-30,2007-06-01,8.3
2020-12-30,2020-12-30,2007-07-01,8.4
2020-12-30,2020-12-30,2007-08-01,8.4
2020-12-30,2020-12-30,2007-09-01,8.4
2020-12-30,2020-12-30,2007-10-01,8.4
2020-12-30,2020-12-30,2007-11-01,8.5
2020-12-30,2020-12-30,2007-12-01,8.8
2020-12-30,2020-12-30,2008-01-01,9.1
2020-12-30,2020-12-30,2008-02-01,9.0
2020-12-30,2020-12-30,2008-03-01,9.1
2020-12-30,2020-12-30,2008-04-01,9.2
2020-12-30,2020-12-30,2008-05-01,9.7
2020-12-30,2020-12-30,2008-06-01,10.0
2020-12-30,2020-12-30,2008-07-01,10.5
2020-12-30,2020-12-30,2008-08-01,10.8
2020-12-30,2020-12-30,2008-09-01,11.1
2020-12-30,2020-12-30,2008-10-01,11.8
2020-12-30,2020-12-30,2008-11-01,12.7
2020-12-30,2020-12-30,2008-12-01,13.6
2020-12-30,2020-12-30,2009-01-01,14.1
2020-12-30,2020-12-30,2009-02-01,15.1
2020-12-30,2020-12-30,2009-03-01,15.8
2020-12-30,2020-12-30,2009-04-01,15.9
2020-12-30,2020-12-30,2009-05-01,16.5
2020-12-30,2020-12-30,2009-06-01,16.5
2020-12-30,2020-12-30,2009-07-01,16.4
2020-12-30,2020-12-30,2009-08-01,16.7
2020-12-30,2020-12-30,2009-09-01,16.7
2020-12-30,2020-12-30,2009-10-01,17.1
2020-12-30,2020-12-30,2009-11-01,17.1
2020-12-30,2020-12-30,2009-12-01,17.2
2020-12-30,2020-12-30,2010-01-01,16.6
2020-12-30,2020-12-30,2010-02-01,17.0
2020-12-30,2020-12-30,2010-03-01,17.1
2020-12-30,2020-12-30,2010-04-01,17.2
2020-12-30,2020-12-30,2010-05-01,16.7
2020-12-30,2020-12-30,2010-06-01,16.4
2020-12-30,2020-12-30,2010-07-01,16.4
2020-12-30,2020-12-30,2010-08-01,16.5
2020-12-30,2020-12-30,2010-09-01,16.9
2020-12-30,2020-12-30,2010-10-01,16.6
2020-12-30,2020-12-30,2010-11-01,16.9
2020-12-30,2020-12-30,2010-12-01,16.6
2020-12-30,2020-12-30,2011-01-01,16.1
2020-12-30,2020-12-30,2011-02-01,16.0
2020-12-30,2020-12-30,2011-03-01,16.0
2020-12-30,2020-12-30,2011-04-01,16.1
2020-12-30,2020-12-30,2011-05-01,15.9
2020-12-30,2020-12-30,2011-06-01,16.1
2020-12-30,2020-12-30,2011-07-01,15.9
2020-12-30,2020-12-30,2011-08-01,16.1
2020-12-30,2020-12-30,2011-09-01,16.4
2020-12-30,2020-12-30,2011-10-01,15.8
2020-12-30,2020-12-30,2011-11-01,15.6
2020-12-30,2020-12-30,2011-12-01,15.2
2020-12-30,2020-12-30,2012-01-01,15.1
2020-12-30,2020-12-30,2012-02-01,15.0
2020-12-30,2020-12-30,2012-03-01,14.6
2020-12-30,2020-12-30,2012-04-01,14.7
2020-12-30,2020-12-30,2012-05-01,14.8
2020-12-30,2020-12-30,2012-06-01,14.7
2020-12-30,2020-12-30,2012-07-01,14.7
2020-12-30,2020-12-30,2012-08-01,14.6
2020-12-30,2020-12-30,2012-09-01,14.8
2020-12-30,2020-12-30,2012-10-01,14.4
2020-12-30,2020-12-30,2012-11-01,14.4
2020-12-30,2020-12-30,2012-12-01,14.4
2020-12-30,2020-12-30,2013-01-01,14.5
2020-12-30,2020-12-30,2013-02-01,14.3
2020-12-30,2020-12-30,2013-03-01,13.9
