FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
U6RATE,"Total Unemployed, Plus All Persons Marginally Attached to the Labor Force, Plus Total Employed Part Time for Economic Reasons, as a Percent of the Civilian Labor Force Plus All Persons Marginally Attached to the Labor Force (U-6), Percent, Monthly, Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,U6RATE
34335.0,11.7
34366.0,11.4
34394.0,11.5
34425.0,11.3
34455.0,10.9
34486.0,11.0
34516.0,10.8
34547.0,10.6
34578.0,10.4
34608.0,10.4
34639.0,10.1
34669.0,10.1
34700.0,10.1
34731.0,9.9
34759.0,9.9
34790.0,10.1
34820.0,10.1
34851.0,10.1
34881.0,10.1
34912.0,10.1
34943.0,10.2
34973.0,10.0
35004.0,10.1
35034.0,10.0
35065.0,9.8
35096.0,10.0
35125.0,9.9
35156.0,10.0
35186.0,9.8
35217.0,9.7
35247.0,9.7
35278.0,9.4
35309.0,9.5
35339.0,9.5
35370.0,9.4
35400.0,9.6
35431.0,9.4
35462.0,9.3
35490.0,9.1
35521.0,9.3
35551.0,8.9
35582.0,8.9
35612.0,8.7
35643.0,8.7
35674.0,8.7
35704.0,8.5
35735.0,8.4
35765.0,8.5
35796.0,8.4
35827.0,8.3
35855.0,8.4
35886.0,8.0
35916.0,8.0
35947.0,8.1
35977.0,8.2
36008.0,7.9
36039.0,8.0
36069.0,7.9
36100.0,7.7
36130.0,7.6
36161.0,7.6
36192.0,7.7
36220.0,7.5
36251.0,7.7
36281.0,7.4
36312.0,7.5
36342.0,7.5
36373.0,7.3
36404.0,7.4
36434.0,7.2
36465.0,7.2
36495.0,7.1
36526.0,7.0
36557.0,7.1
36586.0,7.1
36617.0,6.9
36647.0,7.1
36678.0,7.0
36708.0,7.0
36739.0,7.1
36770.0,7.0
36800.0,6.8
36831.0,7.1
36861.0,6.9
36892.0,7.3
36923.0,7.3
36951.0,7.3
36982.0,7.4
37012.0,7.5
37043.0,7.9
37073.0,7.9
37104.0,8.2
37135.0,8.7
37165.0,9.3
37196.0,9.4
37226.0,9.6
37257.0,9.4
37288.0,9.5
37316.0,9.4
37347.0,9.7
37377.0,9.6
37408.0,9.5
37438.0,9.6
37469.0,9.6
37500.0,9.6
37530.0,9.6
37561.0,9.8
37591.0,9.8
37622.0,9.9
37653.0,10.1
37681.0,10.0
37712.0,10.2
37742.0,10.1
37773.0,10.3
37803.0,10.3
37834.0,10.1
37865.0,10.4
37895.0,10.2
37926.0,10.1
37956.0,9.8
37987.0,9.8
38018.0,9.7
38047.0,10.0
38078.0,9.6
38108.0,9.7
38139.0,9.6
38169.0,9.5
38200.0,9.4
38231.0,9.4
38261.0,9.7
38292.0,9.4
38322.0,9.3
38353.0,9.2
38384.0,9.2
38412.0,9.1
38443.0,9.0
38473.0,8.9
38504.0,9.0
38534.0,8.8
38565.0,8.9
38596.0,9.0
38626.0,8.7
38657.0,8.7
38687.0,8.6
38718.0,8.4
38749.0,8.4
38777.0,8.2
38808.0,8.1
38838.0,8.2
38869.0,8.4
38899.0,8.5
38930.0,8.4
38961.0,8.0
38991.0,8.2
39022.0,8.1
39052.0,7.9
39083.0,8.3
39114.0,8.1
39142.0,8.0
39173.0,8.2
39203.0,8.2
39234.0,8.3
39264.0,8.4
39295.0,8.4
39326.0,8.4
39356.0,8.4
39387.0,8.5
39417.0,8.8
39448.0,9.1
39479.0,9.0
39508.0,9.1
39539.0,9.2
39569.0,9.7
39600.0,10.0
39630.0,10.5
39661.0,10.8
39692.0,11.1
